,C_spX_-0.1356139279169212,C_spX_0.8643860720830788,n_Csp3_-0.5068214212991244,n_Csp3_-0.1734880879657911,n_Csp3_0.15984524536754222,n_Csp3_0.49317857870087556,num_C_-0.6371411117898594,num_C_-0.3038077784565261,num_C_0.029525554876807192,num_C_0.3628588882101405,num_H_-0.39584605986560784,num_H_0.10415394013439216,num_H_0.6041539401343922,num_N_-0.015271838729383017,num_N_0.48472816127061696,num_N_0.984728161270617,num_O_-0.0632254123396457,num_O_0.4367745876603543,num_O_0.9367745876603543,DOI_10.1002/047084289X.rm267.pub3,DOI_10.1002/chem.201805657,DOI_10.1016/S0040-4020(97)00622-4,DOI_10.1016/S0040-4039(00)78488-7,DOI_10.1021/ja00199a039,DOI_10.1021/ja9626300,DOI_10.1021/jo00045a004,DOI_10.1021/jo9604189,DOI_10.1021/jo961316l,DOI_10.1021/ol000017m,DOI_10.1039/D2QO01005D,"DOI_Heterocycles 2000, 53, 2629",DOI_baran,DOI_doi.org/10.1021/jo990185w,DOI_https://onlinelibrary.wiley.com/doi/epdf/10.1002/0471264180.or069.01,DOI_https://onlinelibrary.wiley.com/doi/epdf/10.1002/0471264180.or069.02,DOI_https://onlinelibrary.wiley.com/doi/epdf/10.1002/0471264180.or069.05,DOI_https://onlinelibrary.wiley.com/doi/epdf/10.1002/0471264180.or069.06,DOI_https://onlinelibrary.wiley.com/doi/epdf/10.1002/0471264180.or069.07,DOI_https://onlinelibrary.wiley.com/doi/epdf/10.1002/0471264180.or069.09,DOI_https://www.sciencedirect.com/science/article/pii/S0040403900602022,Reactive Atom,Selectivity,Atom_nº,Reactant_SMILES,Predicted_Selectivity
0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,CCCCCCC,0.9365245573398515
1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.74576271186441,1,CCCCCCC,33.02115848088672
2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.74576271186441,2,CCCCCCC,33.02115848088672
3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,30.508474576271187,3,CCCCCCC,33.02115848088672
4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,CC(C)C(C)C,1.3558690910324416
5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,1,CC(C)C(C)C,98.64413090896754
6,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,CC1CCCCC1,1.070493062079433
7,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,95.74468085106383,1,CC1CCCCC1,44.99860829492824
8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2,CC1CCCCC1,17.976966214330776
9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.25531914893617,3,CC1CCCCC1,17.976966214330776
